node,community_id,strength
uriyyo,2,2.0
youreadthis,2,2.0
Abdulnaser97,2,1.0
EFord36,2,1.0
MarinPostma,2,1.0
Rishat-F,2,1.0
Tishka17,2,1.0
alaminopu,2,1.0
arpithpm,2,1.0
dbejo,2,1.0
gilesperiencia-del,2,1.0
gitgernit,2,1.0
indayush,2,1.0
jerry-reevo,2,1.0
lyushher,2,1.0
maksimzayats,2,1.0
mkbhanda,2,1.0
ragnarok22,2,1.0
rahulpandey535,2,1.0
shyam-ramani,2,1.0
tsmathis,2,1.0
wisderfin,2,1.0
zachary-walravens,2,1.0
alejsdev,3,50.0
kinuax,3,9.0
Malak993-lho,3,8.0
maxachis,3,8.0
Ali-Parandeh,3,6.0
Taoup,3,6.0
ruzia,3,6.0
sneakers-the-rat,3,6.0
mrlubos,3,4.0
HUDA-GIF,3,3.0
SanjanaS10,3,3.0
adityagiri3600,3,3.0
g7AzaZLO,3,3.0
timonrieger,3,3.0
yujiteshima,3,3.0
BLESSEDEFEM,3,2.0
KoyoMiyazaki,3,2.0
Rayyan-Oumlil,3,2.0
bonastreyair,3,2.0
chailandau,3,2.0
dhruvgoyal-ai,3,2.0
edwdev-oficial,3,2.0
fcharrier,3,2.0
ndimares,3,2.0
0xFazal,3,1.0
Adamowoc,3,1.0
Davis-3450,3,1.0
GeoSegun,3,1.0
Lali182k5,3,1.0
Sufyan-Ali,3,1.0
cureprotocols,3,1.0
gsheni,3,1.0
praffq,3,1.0
valentinDruzhinin,4,29.0
sodaMelon,4,19.0
sungchan1,4,18.0
DianaTrufanova,4,8.0
isgin01,4,5.0
mezgoodle,4,5.0
Amogha-ark,4,4.0
gayuna,4,3.0
ykertytsky,4,3.0
Lancetnik,4,2.0
SofiiaTrufanova,4,2.0
Zerohertz,4,2.0
killerdevildog,4,2.0
dolfinus,5,26.0
Ben-Brady,5,15.0
WrldEngine,5,8.0
Lob26,5,5.0
berkkaradalan,5,4.0
cardosource,5,4.0
gudwls215,5,3.0
AleksaMCode,5,1.0
P-Muench,5,1.0
rhealakhotia,5,1.0
wbarnha,5,1.0
xsismadn3ss,5,1.0
musicinmybrain,6,23.0
Kludex,6,8.0
edgarrmondragon,6,5.0
ollie-bell,6,5.0
FatimahAlhumaidhi,6,4.0
Tonkonozhenko,6,3.0
galah92,6,3.0
antbz,6,1.0
bforma,6,1.0
cgilviadee,6,1.0
jkugler,6,1.0
leerob,7,7.0
JefferyHus,7,3.0
yezz123,7,2.0
rauchg,7,1.0
SakibSibly,8,4.0
Azazul123,8,2.0
TahmidMuntaser,8,1.0
nomanstine,8,1.0
stickm4n,9,8.0
cstruct,9,6.0
mwildehahn,9,1.0
nsoranzo,9,1.0
Charisn,10,4.0
Cybernetic-Ransomware,10,2.0
dev4all,10,1.0
Mohammad222PR,11,4.0
AbolfazlKameli,11,2.0
ashyls,11,1.0
mohiuddin-khan-shiam,12,5.0
Pavanmanikanta98,12,1.0
hozn,12,1.0
FlaviusRaducu,13,15.0
simone-trubian,13,5.0
johnson-earls,13,3.0
sajjadrahman56,14,7.0
syedasamina56,14,4.0
fatemajannat9,14,2.0
yogishhg9964,15,4.0
HamzaYslmn,15,1.0
pythonweb2,15,1.0
Joab0,16,5.0
ibrahimpelumi6142,16,5.0
BastienGimbert,16,3.0
sankarebarri,17,3.0
MaxwellEnemuo,17,1.0
ErickMoraL,18,1.0
albakore,18,1.0
amin-abbasiy,19,4.0
iw4p,19,2.0
ChunkyTortoise,20,2.0
chatgpt-codex-connector,20,1.0
emmanuel-ferdman,21,5.0
schneebuzz,21,5.0
grantjenks,22,2.0
jogo-openai,22,1.0
jeannin,23,2.0
odiseo0,23,1.0
