node,community_id,strength
swastikpradhan1999,1,5.0
zmievsa,1,5.0
Just-Helpful,1,4.0
WaveTheory1,1,4.0
Zhongheng-Cheng,1,4.0
cassiobotaro,1,4.0
davidarmandosanchezcruz54-source,1,4.0
gabyorel,1,4.0
lingotesoropuro-jpg,1,4.0
marcelomarkus,1,4.0
retwish,1,4.0
secrett2633,1,4.0
tirkarthi,1,4.0
EstebanDalelR,1,3.0
Neizvestnyj,1,3.0
remimd,1,3.0
veeceey,1,3.0
wowkin2,1,3.0
Aruelius,1,2.0
Biaslan-git,1,2.0
DEENUU1,1,2.0
DivInstance,1,2.0
EnamSingh,1,2.0
andersonrocha0,1,2.0
anton-ryzhov,1,2.0
apotterri,1,2.0
choi-haram,1,2.0
epaes90,1,2.0
ewen-lorimer,1,2.0
fermanza,1,2.0
fluffy-dev,1,2.0
martyndavies,1,2.0
s21v1d9p,1,2.0
victorgaard,1,2.0
AliSot2000,1,1.0
Antares0982,1,1.0
ArcLightSlavik,1,1.0
DHANUSHRAJA22,1,1.0
Danstiv,1,1.0
GeoTsak314,1,1.0
HoverHell,1,1.0
NEFORCEO,1,1.0
OscarMCV-SW,1,1.0
TheoPascoli,1,1.0
Yurzs,1,1.0
a-babarytskyi,1,1.0
aghabidareh,1,1.0
aleksul,1,1.0
andrii-kysylevskyi,1,1.0
angryfoxx,1,1.0
ashb,1,1.0
falkoschindler,1,1.0
farzbood,1,1.0
ivanmilevtues,1,1.0
joselu103,1,1.0
mintuhouse,1,1.0
nikmaxott,1,1.0
pierrejeambrun,1,1.0
pmsmanishchauhan,1,1.0
pperliti,1,1.0
robertoberto,1,1.0
sukantamajhi,1,1.0
tmdgusya,1,1.0
wmin401,1,1.0
xmdnx,1,1.0
zmievsa-semasoftware,1,1.0
svlandeg,2,233.0
cjwatson,2,29.0
SaisakthiM,2,20.0
Viicos,2,20.0
AhsanSheraz,2,15.0
dynamicy,2,14.0
patrick91,2,14.0
dennybiasiolli,2,11.0
hemanth-thirthahalli,2,10.0
dikos1337,2,8.0
njsbhu,2,8.0
saky-semicolon,2,7.0
mvanderlee,2,6.0
ishansurdi,2,5.0
johnson-earls,2,5.0
ngoldbaum,2,5.0
tImIhAcK,2,5.0
timonrieger,2,5.0
24ds1000054-code,2,4.0
abhishekbiswas772,2,4.0
bysiber,2,4.0
jaw997,2,4.0
p-r-a-v-i-n,2,4.0
sangsaist,2,4.0
AditSoni,2,3.0
Anya299,2,3.0
GeroZayas,2,3.0
Shaptain,2,3.0
airchitect-ai,2,3.0
chailandau,2,3.0
sujin502,2,3.0
EFord36,2,2.0
alaminopu,2,2.0
dbejo,2,2.0
gilesperiencia-del,2,2.0
indayush,2,2.0
lyushher,2,2.0
ragnarok22,2,2.0
sayantanmandal1,2,2.0
shyam-ramani,2,2.0
youreadthis,2,2.0
Abdulnaser97,2,1.0
MarinPostma,2,1.0
arpithpm,2,1.0
jerry-reevo,2,1.0
maksimzayats,2,1.0
mkbhanda,2,1.0
rahulpandey535,2,1.0
tsmathis,2,1.0
zachary-walravens,2,1.0
