node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
Biaslan-git,2.0,2,639.7843211032841,176,56,False,False,False
DEENUU1,2.0,2,639.7843211032841,176,56,False,False,False
DivInstance,2.0,2,639.7843211032841,176,56,False,False,False
EnamSingh,2.0,2,639.7843211032841,176,56,False,False,False
Just-Helpful,2.0,2,639.7843211032841,176,56,False,False,False
Neizvestnyj,2.0,2,639.7843211032841,176,56,False,False,False
Priyanshjain10,2.0,2,639.7843211032841,176,56,False,False,False
VectorSophie,2.0,2,639.7843211032841,176,56,False,False,False
Vivansh27,2.0,2,639.7843211032841,176,56,False,False,False
WaveTheory1,2.0,2,639.7843211032841,176,56,False,False,False
YASWANTH1976,2.0,2,639.7843211032841,176,56,False,False,False
adamobrien-dev,2.0,2,639.7843211032841,176,56,False,False,False
apotterri,2.0,2,639.7843211032841,176,56,False,False,False
arun-geek,2.0,2,639.7843211032841,176,56,False,False,False
developreiloyo,2.0,2,639.7843211032841,176,56,False,False,False
ewen-lorimer,2.0,2,639.7843211032841,176,56,False,False,False
retwish,2.0,2,639.7843211032841,176,56,False,False,False
s21v1d9p,2.0,2,639.7843211032841,176,56,False,False,False
secrett2633,2.0,2,639.7843211032841,176,56,False,False,False
simon-huang-t,2.0,2,639.7843211032841,176,56,False,False,False
sriharshamittapalli,2.0,2,639.7843211032841,176,56,False,False,False
vish86,2.0,2,639.7843211032841,176,56,False,False,False
ChunkyTortoise,2.0,2,487.99999999999994,176,93,False,False,False
grantjenks,2.0,2,487.99999999999994,176,93,False,False,False
jeannin,2.0,2,487.99999999999994,176,93,False,False,False
Flosckow,2.0,2,487.99999999999983,176,102,False,False,False
chailandau,2.0,2,346.76442114781634,176,108,False,False,False
wowkin2,2.0,2,195.84223039746132,176,113,False,False,False
EstebanDalelR,2.0,2,187.6077417027417,176,114,False,False,False
cassiobotaro,2.0,2,183.00000000000006,176,115,False,False,False
edwdev-oficial,2.0,2,148.31666666666666,176,116,False,False,False
Zhongheng-Cheng,2.0,2,116.29090909090914,176,117,False,False,False
sangsaist,2.0,2,69.67787485842409,176,120,False,False,False
Rayyan-Oumlil,2.0,2,37.88527173604056,176,122,False,False,False
saltnepperson,2.0,2,31.69009495325287,176,123,False,False,False
uriyyo,2.0,2,31.69009495325287,176,123,False,False,False
24ds1000054-code,2.0,2,0.0,176,133,False,False,False
ASR1015,2.0,1,0.0,176,133,False,False,False
