source,target,weight
davidarmandosanchezcruz54-source,tiangolo,4
dev4all,Charisn,2
dolfinus,Ben-Brady,12
dolfinus,Lob26,4
dolfinus,WrldEngine,6
dolfinus,YuriiMotov,1
dolfinus,berkkaradalan,1
dolfinus,cardosource,4
dolfinus,gudwls215,2
dolfinus,tiangolo,6
edgarrmondragon,musicinmybrain,2
eltoder,sauravvenkat,1
eltoder,tiangolo,1
epaes90,tiangolo,2
ezeparziale,JP-Ellis,1
falkoschindler,tiangolo,1
farzbood,tiangolo,1
fatemajannat9,sajjadrahman56,3
fermanza,tiangolo,2
frafra,Areeb455,1
galah92,musicinmybrain,3
gilesperiencia-del,svlandeg,2
gitgernit,EgorOnishchuk,2
guspan-tanadi,t4f1d,2
hard-coders,YuriiMotov,8
hard-coders,seuthootDev,2
hard-coders,tiangolo,8
hozn,mohiuddin-khan-shiam,1
iamantonreznik,EgorOnishchuk,4
isgin01,Amogha-ark,3
isgin01,NavesSapnis,2
isgin01,gayuna,2
isgin01,valentinDruzhinin,2
ivikasavnish,YuriiMotov,2
ivikasavnish,mahdighadiriii,2
iw4p,amin-abbasiy,3
jaw997,patrick91,4
jerry-reevo,svlandeg,1
jingyugao,YuriiMotov,1
jkugler,musicinmybrain,1
jogo-openai,grantjenks,2
johnslavik,tiangolo,5
johnson-earls,FlaviusRaducu,1
joselu103,tiangolo,1
kinuax,Taoup,3
kumaranvpl,Flosckow,2
lingotesoropuro-jpg,tiangolo,4
mahimairaja,YuriiMotov,2
marcelomarkus,tiangolo,4
maru0123-2004,devil-works,4
maru0123-2004,ruzia,2
maru0123-2004,tiangolo,18
mattwang44,tiangolo,6
maxachis,YuriiMotov,2
maxachis,g7AzaZLO,6
maxachis,yujiteshima,2
mezgoodle,tiangolo,6
mezgoodle,valentinDruzhinin,4
mintuhouse,tiangolo,1
mkbhanda,AditSoni,1
mrcghil,YuriiMotov,1
mrlubos,Ali-Parandeh,2
musicinmybrain,YuriiMotov,1
musicinmybrain,tiangolo,1
mwildehahn,stickm4n,1
mynewestgitaccount,YuriiMotov,1
nazarepiedady,EdmilsonRodrigues,7
nazarepiedady,tiangolo,2
ngoldbaum,patrick91,1
ngoldbaum,svlandeg,4
nilslindemann,YuriiMotov,29
nilslindemann,tiangolo,22
njsbhu,AditSoni,1
njsbhu,YuriiMotov,1
njsbhu,amitmoralwar,1
njsbhu,maxachis,1
